Doc_name,Page_num,Paragraph_num,Paragraph_content,Paragraph_length,SA_label,17 SDG Alignment,GRI Topic Alignment,Informative & Non-Informative/Vague Sustainability Text Identification,Qualitative & Quantitative Sustainability Text Identification,High Potential Greenwashing Detection,Climate Alignment,GRI Climate Alignment,GRI Climate Action (SDG13) Alignment,Climate Action (SDG13) Alignment
Iron2023.pdf,5,1,"Iron Mountain is a global leader in information management, innovative storage, data center infrastructure, and asset lifecycle management. Founded in 1951 and trusted by more than 225,000 customers worldwide, Iron Mountain serves to protect and elevate the power of our customers’ work. Through a range of offerings including digital transformation, data centers, secure records storage, information management, asset lifecycle management, secure destruction, and art storage and logistics, Iron Mountain helps businesses bring light to their dark data. These offerings enable customers to unlock value and intelligence from their stored digital and physical assets at speed and with security, while helping them meet their environmental goals.",86,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,5,2,"60 countries 1,400 facilities 27,000 employees 70+ years of proven experience 98M sq. ft. of real estate 225,000 customers $5.5B U.S. fiscal 2023 revenue 861 MW of data center capacity under our control ~ 98% customer retention rate in our Records Management business. ",28,Relevant,SDG_7: Affordable Energy,Social,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 2,Economical Aspect (GRI 201),Climate Action (SDG13)
Iron2023.pdf,6,1,"We believe a sustainable future is only possible through collaboration. When we make commitments together—with our customers, suppliers, and partners, and in the communities where we operate—we not only multiply our efforts, but we also make sustainable behaviors more accessible and achievable.",34,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,6,2,"We’re securing a sustainable future by partnering with our customers, enabling them to make better decisions about how they manage their most valuable information and assets. We’re supporting our employees with a culture of diversity and inclusion, and it is through their efforts that we deliver on our promises to our customers, our partners, and our communities.",49,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,6,3,"Our Senior Director of Sustainability, Jen Grimaudo, had the opportunity to speak with Flexe, one of our warehousing and logistics partners, to discuss sustainability and the supply chain. Flexe’s leadership logistics podcast dives into warehouse and transportation issues, as well as the latest industry insights.",37,Relevant,SDG_8: Economic Growth,General,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,6,4,During the podcast Jen talked about how Iron Mountain began its sustainability journey and how collaboration has played a key part in our success to date. She also discussed the importance of data-driven insights in prioritizing actions.,34,Relevant,SDG_12: Responsible Consumption,General,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,7,1,We believe that executive oversight and leadership are essential to delivering on our sustainability commitments and promoting trust in what we say and do.,23,Relevant,SDG_8: Economic Growth,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,7,2,"Our governance framework is designed to provide oversight of our: • Progress against our global sustainability strategy and goals with a view of our programs and processes to meet those targets • Business unit planning to help support the attainment of the enterprise sustainability goals • Processes to measure and report on progress in alignment with regulatory requirements and voluntary reporting frameworks • Identify, assess, and manage climate-related risks. ",60,Relevant,SDG_8: Economic Growth,Economic,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 201,Economical Aspect (GRI 201),Climate Action (SDG13)
Iron2023.pdf,7,3,"These objectives are achieved through a multi-layered leadership model focused on the management and oversight of key sustainability issues. Our Sustainability team and Sustainability Executive Steering Committee (SESC) work together to review and approve our global sustainability strategy, goals, reporting, and risks. The SESC includes all business and functional leaders who report directly to the CEO and is responsible for reporting to the board of directors on the sustainability program and our progress.",65,Relevant,SDG_8: Economic Growth,General,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,7,4,"The Sustainability team at Iron Mountain is a center of excellence that liaises across the organization to provide guidance, leadership, and reporting related to sustainability.",22,Relevant,SDG_12: Responsible Consumption,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,8,1,"We embrace our responsibility to contribute to a net-zero emissions future for the planet. We seek opportunities to improve environmental performance within our operations. We enable our customers to manage information while meeting their environmental goals. And we partner with our suppliers to unlock opportunities to protect our planet, together.",44,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,Economical Aspect (GRI 201),Climate Action (SDG13)
Iron2023.pdf,8,2,"How will we measure progress: • Submission of a science-based target in 2024 under SBT’s Business Ambition for 1.5°C campaign and net zero by 2040 • By 2025: achieving 90% renewable electricity coverage globally (maintain 100% coverage in data centers) • By 2030: as part of our EV100 commitment, converting 100% of company cars and 50% of company vans to electric with an interim goal of 10% of our global fleet of cars and vans by 2025. ",56,Relevant,SDG_7: Affordable Energy,Environmental,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,8,3,"Iron Mountain data centers, specific goals: • By 2025, all new construction of multitenant data center facilities will be certified to BREEAM Green Building Standard • By 2030, all Iron Mountain data centers worldwide will be climate neutral as part of the EU Climate Neutral Data Centre Pact • By 2040, we will use the Google methodology for matching site-by-site electricity with local clean power generation every hour of every day to achieve 24/7 clean power in our data centers. ",69,Relevant,SDG_7: Affordable Energy,Environmental,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,8,4,We set ambitious public goals and are transparent in our reporting to hold ourselves accountable for the impact of our operations. We focus on creating positive change in the communities where we do business. Our goals encourage us to collaborate across disciplines to innovate and sustainably grow our business. We focus on what is most material and most impactful. We create our goals thoughtfully and in alignment with our strategic sustainability objectives and governance processes.,70,Relevant,SDG_8: Economic Growth,General,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,8,5,"Our Sustainability Executive Steering Committee monitors our progress towards our goals and periodically reviews our commitments to ensure that they are measurable, ambitious, aligned with our business objectives, include both short- and long-term objectives, and encourage continuous improvement.",31,Relevant,SDG_8: Economic Growth,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,8,6,"These goals demonstrate our ongoing dedication to embedding sustainability throughout our organizational processes. We aim to empower a diverse workforce, strengthen our communities, and address our environmental impacts, including achieving net-zero greenhouse gas emissions.",28,Relevant,SDG_8: Economic Growth,Environmental,Non-informative/Vague,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,9,1,"We work together to create a workplace where employees’ authentic selves are welcomed, accepted, and included. When we fuel innovation through diverse ideas, backgrounds, and perspectives, our people thrive, our customers benefit, and our business succeeds.",26,Relevant,SDG_8: Economic Growth,Social,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,9,2,Our annual IM Listening global employee survey provides valuable feedback regarding our company culture and helps our leaders understand how we can best support our Mountaineers’ collective well-being and success. Using that survey is a measurement tool we aim to: • Achieve and maintain a global employee engagement score of 70% or higher • Achieve and maintain a global employee belonging score of 70% or higher. ,57,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,9,3,Our impact extends beyond the walls of our facilities. We contribute positively to the communities in which we operate by leveraging the unique capabilities of our business. We go beyond philanthropy to conduct business in a way that leads to a prosperous future for communities.,42,Relevant,SDG_8: Economic Growth,Social,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,9,4,"How we will measure progress: • By 2025, collectively volunteer 100,000 hours in our communities • By 2027, work with charitable partners to create a collection of 15 projects that tell the story of how cultural heritage is being impacted by climate change",36,Relevant,SDG_13: Climate Action,Environmental,Informative,Quantitative,High Potential Greenwashing,Climate,GRI 101,Economical Aspect (GRI 201),Non-Climate Action
Iron2023.pdf,11,1,"Iron Mountain provides customers with innovative solutions to bring them closer to both achieving their purpose and to attaining their environmental, social, and corporate governance aspirations.",23,Relevant,SDG_8: Economic Growth,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,11,2,"We believe that innovation and integrity pave the path to long-term sustainable success. We build trusted relationships with stakeholders based on this philosophy, and our approach is underpinned by the conviction that ethics and good governance matter to our future success.",37,Relevant,SDG_16: Peace,General,Non-informative/Vague,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,11,3,"Securing the trust of our customers is critical to our business, and our privacy and data protection practices are essential to maintaining that trust. We remain committed to ensuring that our customer data is safe and secure in line with relevant regulations and best practices.",42,Relevant,SDG_16: Peace,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,11,4,"The exponential growth of digital data and rapid development of AI technology create new challenges and opportunities for us and our customers. We closely monitor these developments and respond by enhancing our privacy compliance, embedding privacy and security controls in our services, and enabling our customers to manage physical and digital data as they advance their sustainability objectives.",54,Relevant,SDG_9: Industry & Innovation,Economic,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,11,5,"In 2023, we continued our commitment to privacy compliance by enhancing our global privacy program and reinforcing a culture of data privacy among our workforce. In addition, we applied for the EU Binding Corporate Rules (BCR), which is considered a gold standard for international data transfers and demonstrates that Iron Mountain adheres to the highest privacy standards set by the European Union General Data Protection Regulation (GDPR). We expect that the competent supervisory authority will approve our BCR in 2024.",74,Relevant,SDG_8: Economic Growth,Social,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,11,6,"Finally, we continued leveraging knowledge about data residency requirements that apply to some of our regulated customers as we enhance the scalability and security of our IT infrastructure to support the expansion of our digital services offerings.",35,Relevant,SDG_9: Industry & Innovation,Social,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,11,7,Each year Iron Mountain hosts an education series where thought leaders shed light on solutions to challenges that our customers might face.,21,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,11,8,"We continued our education program in 2023 with a series that explored emerging trends with potential impact on information and data governance professionals. Topics included an impending recession, privacy policies, managing risk, and more.",28,Relevant,SDG_9: Industry & Innovation,Economic,Informative,Qualitative,High Potential Greenwashing,Non-Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,12,1,"We take our purpose to “protect and elevate the power of our customers’ work” to heart, and we seek to do all we can to embed this in the way we create sustainable solutions and services for our customers. Iron Mountain Sustainable Solutions enable our customers to not only protect and elevate the power of their work, but also to make a lasting, positive impact on people, our planet, and performance.",61,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,12,2,"We believe we have an opportunity to leverage our sustainable business practices to add value to our product offerings. We partnered with MIT’s Sustainability Lab and external business leaders and subject matter experts to develop a methodology to determine if a product or service has the attributes necessary to be considered a sustainable solution. Over the last two years we have methodically evaluated our products and services to identify those that meet our criteria. In early 2024, we launched a new section of our website dedicated to helping our customers understand how Iron Mountain can help them achieve their sustainability goals through Iron Mountain Sustainable Solutions.",100,Relevant,SDG_8: Economic Growth,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,12,3,Iron Mountain’s Sustainable Solutions core criteria: • Addresses a significant and clearly defined sustainability challenge • A comprehensive product lifecycle review of benefits and limitations resulting in a net positive impact rating • Sustainability claims are clear and based on a third-party endorsement • Transparency provided on business processes and any calculated sustainability metrics. ,46,Relevant,SDG_12: Responsible Consumption,General,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,12,4,"What if you could > Enhance your information destruction program, knowing exactly which documents need to be destroyed and remain in compliance with pertinent regulations > Support the circular economy by recycling paper products without compromising any data > Elevate your reputation as a sustainable organization by reporting on waste to landfill diversion and achieving your sustainability goals. ",53,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,12,5,"With Iron Mountain Secure Paper Shredding, you get the resources and proven expertise you’ll need to create, implement and monitor a comprehensive information destruction program that is convenient, compliant, cost-effective and sustainable. By leveraging our destruction best practices, you’ll be able to: > Ensure your data is secure with disposal processes certified by the National Association for Information Destruction (NAID) > Leverage Iron Mountain’s network of paper brokers and mills that recycle more than 450,000 tons of paper annually on behalf of our customers > Access account-specific data on your organization’s shredding activity that is auditable with a Green Report that includes information on waste diverted from landfill and the associated water, energy, and emissions savings. ",95,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,12,6,"Organizations understand the impact of sustainability and many have adopted initiatives supporting circular economy such as zero-waste or landfill diversion goals. However, they are often challenged with disposing or recycling materials which include enterprise, proprietary, or customer data.",32,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,12,7,Organizations need a solution that allows them to dispose of paper documents to achieve sustainability targets without compromising on data security and increased costs.,23,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 2,General Aspect (GRI 2),Climate Action (SDG13)
Iron2023.pdf,12,8,“Organizations need a solution that allows them to dispose of paper documents to achieve sustainability targets without compromising on data security and increased costs.”,22,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 2,General Aspect (GRI 2),Non-Climate Action
Iron2023.pdf,14,1,"We have set ambitious goals and have made commitments to reduce our greenhouse gas emissions. Our first Science Based Target (SBT) covering all scopes of emissions was approved by the Science Based Targets Initiative (SBTi) in 2019 and was aligned with a 2°C pathway. In 2022, we submitted our letter of commitment to the SBTi Business Ambition for the 1.5°C campaign. As part of this process, we intend to update our short-term SBT to align with 1.5°C climate science and submit a net-zero target for SBTi validation in 2024.",75,Relevant,SDG_13: Climate Action,Environmental,Informative,Quantitative,Low Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,14,2,"We are using a measured approach to expand the reach of our emissions reduction initiatives and identify opportunities to decarbonize our operations. Our path to net zero focuses on reducing energy use, electrifying our systems and vehicles, installing renewable energy systems, and procuring green power. Our approach has delivered meaningful reductions to our emissions. We reduced corporate Scope 1 and 2 emissions by 10% from 2022 to 2023.",57,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,14,3,"We embrace our responsibility to contribute to the fight for a net-zero future for our planet. We seek opportunities to improve environmental performance within our operations. We enable our customers to manage information while meeting their environmental goals. And we partner with our suppliers to unlock opportunities to protect our planet, together.",46,Relevant,SDG_12: Responsible Consumption,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 306,Economical Aspect (GRI 201),Climate Action (SDG13)
Iron2023.pdf,15,1,"Vehicles are an essential part of providing services to our customers. In 2023, vehicle emissions represented 35% of our Scope 1 greenhouse gas emissions. Fleet electrification is a key component of our emissions reduction strategy and allows us to reduce exposure to fossil fuel prices and local emissions regulations.",43,Relevant,SDG_7: Affordable Energy,Environmental,Informative,Qualitative,Low Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,15,2,"In 2021, Iron Mountain joined EV100, committing to converting 100% of company cars and 50% of company vans to electric by 2030. We also set an interim target of 10% conversion by 2025. In EV100’s 2023 Annual Report, Iron Mountain was recognized as the most internationally committed fleet.",37,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,15,3,"We are continuing to build on our success. Iron Mountain’s first electric vehicle launch since joining EV100 was in the UK. Since that time, we have converted vehicles in more than 20 countries. Twelve new countries were added to our fleet electrification program in 2023, including Chile, China, Colombia, France, Germany, Hong Kong, India, Mexico, Peru, Poland, Singapore, and the United States. We currently have 140 electric vehicles in service or on order. In addition to electrifying our vehicles, we strive to pair charging stations with onsite solar to reduce any increases in the consumption of non- renewable electricity.",74,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,15,4,"We continue to take time to celebrate our achievements with our teams and customers across the globe. In 2023, we hosted events across Latin America and Asia, where customers had the chance to learn about our journey to net zero and explore our new electric vehicles.",42,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,16,1,"Iron Mountain has built strong renewable energy capabilities, as evidenced by our continued designation as a top 30 purchaser of green power in the U.S. and listing on the EPA National Top 100 Partners list. We continue to make progress toward our goal of 100% powered by renewable electricity by 2040 as part of our RE100 commitment, the global initiative for businesses to commit to 100% renewable electricity. In 2023, our global operations were 87% powered by renewable energy, and we covered 100% of the electricity used in our data centers with renewable electricity. Our portfolio of renewable energy solutions includes onsite generation, direct-to-supplier energy contracting, and virtual power purchase agreements for wind, solar, and hydropower. We work closely with our utility data aggregation and advisory services partner to evaluate the utility-level green power landscape, including green tariffs and other utility-specific programs. We also seek to expand onsite solar and are currently investigating additional opportunities in our Asia-Pacific, European, and Latin American operations. As of 2023, there were 52 facilities with onsite solar arrays in our global real estate portfolio, representing a cumulative system size of more than 21.3 megawatts.",156,Relevant,SDG_7: Affordable Energy,Environmental,Informative,Quantitative,High Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,16,2,"In 2023, we continued the execution of our renewable energy strategy. We installed the third-largest solar power system in our portfolio at our Rosendale, NY, facility. The 96,000-square-foot facility is completely underground which provides an opportunity to install a solar farm on the land above ground. The project can produce enough power to provide almost 80% of the power consumption at the facility.",53,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,16,3,"Iron Mountain’s global solar footprint is over 21.3 megawatts, with the Rosendale project at 1.6 megawatts. We’re in a unique position to benefit from onsite solar, and even a relatively small rooftop solar system can often produce as much energy as the site consumes. This project is also pollinator-friendly solar, meaning we grow pollinator- friendly plants underneath the solar panels to provide a habitat and food for birds, bees, butterflies, and other insects.",58,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,16,4,"“This particular solar array is unique for us,” said Dan Anninos, Vice President, Global Facilities Management, Sustainability and Project Delivery. “The array is installed above one of Iron Mountain’s very first storage facilities, our underground limestone mine space located in upstate New York. We took advantage of our above-ground space and put the land to good use, supplying our local electricity grid with renewable power for decades to come.”",56,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,17,1,"An American technology company with over 100,000 employees worldwide moved to a work-from-home model supplying IT equipment and office furniture to each employee. With a staff turnover of ~6,000 employees each month, the company found it difficult to keep track of its equipment and to ensure a globally consistent employee experience. This resulted in inefficient use of the equipment, as well as creating waste, which negatively impacted the company’s progress toward their environmental commitments and circular economy values.",68,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,17,2,"Following a successful pilot program with the company in the UK, Iron Mountain signed a long-term contract to manage the storage, transportation, and logistics of office equipment and IT assets. This new solution combines our unique records management and asset lifecycle management market expertise and offers asset inventory management capability through our new Warehouse and Logistics platform. With this innovative collaboration, Iron Mountain and the company created a closed-loop system to maximize the use of the company’s assets and reduce or eliminate waste.",73,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,17,3,"Iron Mountain’s scope and global scale enable secure management of office equipment (furniture and IT), including collecting it from employees who are leaving the company, cleaning and repurposing the equipment, and, finally, delivering it to new employees. The. ",29,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,17,4,Asset Lifecycle Management (ALM) team erases all data from laptops and refreshes the equipment to ensure it is in like-new condition. Current plans for expansion of the program include six other European countries.,29,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,17,5,"As part of Iron Mountain’s journey to 24/7 Carbon-Free Energy procurement, we now have over 130 locations across the United States and over 50 in the UK with the ability to track and match renewable energy usage on an hourly basis.",34,Relevant,SDG_7: Affordable Energy,Environmental,Informative,Quantitative,High Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,17,6,"24/7 Carbon-Free Energy means renewable energy can supply the hourly forecasted electricity needs for a variety of Iron Mountain facilities, from data center facilities to records and data management sites to Crozier climate-controlled fine art storage facilities.",32,Irrelevant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iron2023.pdf,17,7,Conventional renewable power solutions are designed to match a buyer’s load annually without ensuring that renewable power is available when clients are using electricity. Tracking hourly usage from the generator and comparing it to Iron Mountain’s hourly usage demonstrates a future view of how firms can transition to an improved carbon-free energy supply.,48,Relevant,SDG_7: Affordable Energy,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,17,8,"Watch to see how Iron Mountain data centers are working to achieve 24/7 Carbon-Free Energy. Two of our long-standing partners, RPD Energy and ClearTrace, both elaborate on how they are helping to achieve our goals of making our data center portfolio 24/7 carbon free in the years to come.",41,Relevant,SDG_7: Affordable Energy,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
Iron2023.pdf,18,1,"Water efficiency projects Remote monitoring of our irrigation systems allows us to customize irrigation schedules, taking into account weather, climate, soil, and plant types to fit each site’s needs.",22,Relevant,SDG_6: Clean Water & Sanitation,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 303,Economical Aspect (GRI 201),Climate Action (SDG13)
Iron2023.pdf,18,2,"• We have installed smart irrigation controls at 25 sites in North America. These prevent over watering, provide utility savings, and identify leaks and other potential issues early, minimizing impact.",23,Relevant,SDG_6: Clean Water & Sanitation,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 303,Economical Aspect (GRI 201),Climate Action (SDG13)
Iron2023.pdf,18,3,"Renewable energy procurement As our business continues to grow, so too does our consumption of electricity, making clean energy procurement an important part of our emissions reduction strategy.",24,Relevant,SDG_7: Affordable Energy,Environmental,Informative,Qualitative,High Potential Greenwashing,Climate,GRI 302,Environmental Aspect (GRI 305),Climate Action (SDG13)
